file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,smashed_varexj.CycleWorkSpace,class,2,26,1,0,0,5,6,6,0,5,5,3,0,62
src,smashed_varexj.Main,class,3,17,1,0,27,30,9,9,9,4,4,4,21,132
src,tests.GraphTest,class,5,33,1,0,24,4,17,17,0,1,0,0,21,288
src,tests.TreeGeneratorTest,class,4,4,1,0,4,0,4,4,0,1,0,0,2,54
src,smashed_varexj.RegionWorkSpace,class,2,12,1,0,0,9,6,6,0,1,1,0,0,34
src,smashed_varexj.JavaUtility,class,2,5,1,0,7,6,4,4,0,1,1,1,0,49
src,specifications.SpecificationException,class,0,2,4,0,0,0,2,2,0,1,0,0,0,11
src,smashed_varexj.NetworkGenerator,class,0,2,1,0,0,0,1,1,1,2,2,2,0,64
src,org.junit.internal.runners.statements.FailOnTimeout,class,2,17,3,0,12,18,9,6,0,6,0,0,1,69
src,smashed_varexj.NumberWorkSpace,class,2,12,1,0,0,13,6,6,0,1,1,0,0,36
src,tests.NetworkGeneratorTest,class,3,2,1,0,4,0,2,2,0,1,0,0,1,48
src,smashed_varexj.Graph,class,10,175,1,0,48,241,26,25,4,3,3,1,27,797
src,tests.MainTest,class,5,12,1,0,15,0,6,6,0,1,0,0,8,101
src,smashed_varexj.FinishTimeWorkSpace,class,2,14,1,0,0,9,6,6,0,1,1,0,0,38
src,smashed_varexj.WorkSpaceTranspose,class,2,14,1,0,0,9,6,6,0,1,1,0,0,40
src,smashed_varexj.Vertex,class,2,53,1,0,15,0,10,10,0,16,16,0,27,205
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,13,13,13,0,129
src,tests.ConnectedTests_Caio,class,5,6,1,0,12,1,2,2,0,0,0,0,0,54
src,tests.CycleRelated_Caio,class,5,10,1,0,13,6,4,4,0,0,0,0,0,115
src,smashed_varexj.TreeGenerator,class,0,4,1,0,1,0,1,1,1,6,6,6,1,42
src,tests.GraphReturnTests_Caio,class,4,6,1,0,5,1,2,2,0,0,0,0,0,51
src,tests.TestSuite_NEW,class,5,24,1,0,17,28,8,8,0,0,0,0,0,281
src,smashed_varexj.WorkSpace,interface,1,5,1,0,0,10,5,5,0,0,0,0,0,17
src,tests.MultiFeatureTest_Caio,class,6,27,1,0,13,36,9,9,0,0,0,0,0,197
src,tests.JavaUtilityTest,class,3,8,1,0,11,0,5,5,0,1,0,0,0,79
src,smashed_varexj.Edge,class,1,3,1,0,0,0,1,1,0,3,3,0,0,20
src,smashed_varexj.GlobalVarsWrapper,class,0,3,1,0,0,0,0,0,0,1,1,1,0,13
src,tests.CycleWorkSpaceTest,class,4,16,1,0,7,0,6,6,0,1,0,0,0,104
src,tests.NumberTests_Caio,class,3,3,1,0,2,0,1,1,0,0,0,0,0,33
